"Story","Title","Result","Date","Stability","Duration (s)"
"Login","Login","SUCCESS","2022-05-18T15:50:03.6258028+07:00[Asia/Jakarta]","0.0","110.13"
"As a user","Logout from my account","SUCCESS","2022-05-18T15:51:53.8035998+07:00[Asia/Jakarta]","0.0","26.28"
"Change item's quantity on my shopping cart","I add quantity of an item","SUCCESS","2022-05-18T15:52:21.312769+07:00[Asia/Jakarta]","0.0","24.21"
"Change item's quantity on my shopping cart","I reduce quantity of an item","SUCCESS","2022-05-18T15:52:46.7672992+07:00[Asia/Jakarta]","0.0","25.08"
"Change item's quantity on my shopping cart","I remove the item in my shopping cart","SUCCESS","2022-05-18T15:53:13.3991814+07:00[Asia/Jakarta]","0.0","25.06"
"Change item's quantity on my shopping cart","I click Bayar button on product page","SUCCESS","2022-05-18T15:53:39.7796654+07:00[Asia/Jakarta]","0.0","25.17"
"Product","Buy first product","SUCCESS","2022-05-18T15:54:06.2931498+07:00[Asia/Jakarta]","0.0","21.28"
"Product","Buy second product","SUCCESS","2022-05-18T15:54:29.1829892+07:00[Asia/Jakarta]","0.0","21.28"
"Product","When i don't buy anything on product page","SUCCESS","2022-05-18T15:54:51.8739045+07:00[Asia/Jakarta]","0.0","22.82"
"Product","Using category bar","SUCCESS","2022-05-18T15:55:15.9725483+07:00[Asia/Jakarta]","0.0","24.03"
"Register","Register","SUCCESS","2022-05-18T15:55:41.3446076+07:00[Asia/Jakarta]","0.0","73.69"
